id;f;att;file_calib;file_phone;log
1;1000;0;recording_freq1000_att0.mat;soundlevel_2020-03-06_15.04.23.159.txt;15.04
2;1000;10;recording_freq1000_att10.mat;soundlevel_2020-03-06_15.05.48.255.txt;15.05
3;1000;20;recording_freq1000_att20.mat;soundlevel_2020-03-06_15.07.04.744.txt;15.06
4;1000;30;recording_freq1000_att30.mat;soundlevel_2020-03-06_15.08.27.737.txt;15.08
5;1000;40;recording_freq1000_att40.mat;soundlevel_2020-03-06_15.09.45.695.txt;15.09
6;1000;50;recording_freq1000_att50.mat;soundlevel_2020-03-06_15.10.48.749.txt;15.10
7;2000;0;recording_freq2000_att0.mat;soundlevel_2020-03-06_15.13.23.039.txt;15.13
8;2000;10;recording_freq2000_att10.mat;soundlevel_2020-03-06_15.14.35.417.txt;15.14
9;2000;20;recording_freq2000_att20.mat;soundlevel_2020-03-06_15.15.37.876.txt;15.15
10;2000;30;recording_freq2000_att30.mat;soundlevel_2020-03-06_15.16.34.719.txt;15.16
11;2000;40;recording_freq2000_att40.mat;soundlevel_2020-03-06_15.17.42.873.txt;15.17
12;2000;50;recording_freq2000_att50.mat;soundlevel_2020-03-06_15.18.52.557.txt;15.18
13;4000;0;recording_freq4000_att0.mat;soundlevel_2020-03-06_15.20.38.849.txt;15.20
14;4000;10;recording_freq4000_att10.mat;soundlevel_2020-03-06_15.21.56.104.txt;15.21
15;4000;20;recording_freq4000_att20.mat;soundlevel_2020-03-06_15.22.54.602.txt;15.22
16;4000;30;recording_freq4000_att30.mat;soundlevel_2020-03-06_15.24.03.548.txt;15.24
17;4000;40;recording_freq4000_att40.mat;soundlevel_2020-03-06_15.25.03.667.txt;15.25
18;4000;50;recording_freq4000_att50.mat;soundlevel_2020-03-06_15.26.12.874.txt;15.26
19;500;0;recording_freq500_att0.mat;soundlevel_2020-03-06_15.27.35.277.txt;15.27
20;500;10;recording_freq500_att10.mat;soundlevel_2020-03-06_15.28.52.874.txt;15.28
21;500;20;recording_freq500_att20.mat;soundlevel_2020-03-06_15.30.08.455.txt;15.30
22;500;30;recording_freq500_att30.mat;soundlevel_2020-03-06_15.31.14.752.txt;15.31
23;500;40;recording_freq500_att40.mat;soundlevel_2020-03-06_15.32.12.359.txt;15.32
24;500;50;recording_freq500_att50.mat;soundlevel_2020-03-06_15.33.18.165.txt;15.33
25;250;0;recording_freq250_att0.mat;soundlevel_2020-03-06_15.34.46.281.txt;15.34
26;250;10;recording_freq250_att10.mat;soundlevel_2020-03-06_15.36.00.105.txt;15.35
27;250;20;recording_freq250_att20.mat;soundlevel_2020-03-06_15.37.10.267.txt;15.37
28;250;30;recording_freq250_att30.mat;soundlevel_2020-03-06_15.38.14.619.txt;15.38
29;250;40;recording_freq250_att40.mat;soundlevel_2020-03-06_15.39.19.104.txt;15.39
30;250;100;recording_freq250_att100.mat;soundlevel_2020-03-06_15.40.46.563.txt;15.41
31;250;200;recording_freq250_att200.mat;soundlevel_2020-03-06_15.42.47.650.txt;15.42
32;1000;0;recording_freq1000_att0retest.mat;soundlevel_2020-03-06_15.44.42.905.txt;15.44